text,intent
I'm so lonely right now,emotional-support
finish file taxes by tomorrow!,action-item
so same here,small-talk
I know right hey,small-talk
it hurts that moving away,emotional-support
sounds good yo,small-talk
that needs to happen before Friday,action-item
would you mind fixing the bug?,action-item
handle charge my phone please!!,action-item
no way,small-talk
I feel like nobody understands me,emotional-support
I'm feeling upset today like,emotional-support
um can you just listen for a bit,emotional-support
hmm I know right,small-talk
hmm could you submit the report for me,action-item
I feel so depressed like,emotional-support
that's interesting,small-talk
put a reminder for check the mail well,reminder
send backup my files to the team uh!,action-item
Set Up Clean The House,action-item
hey hey remind me to return the library books,reminder
alert me to return the library books tonight,reminder
I'M Feeling Exhausted Today!!,emotional-support
have you tried my family,small-talk
you know what I mean,small-talk
I'm tired of pretending I'm okay,emotional-support
What Have You Been Up To,small-talk
make sure I return the library books before lunch,reminder
I'm feeling scared today,emotional-support
have a nice day!!,small-talk
can you notify me about feed the cat so,reminder
hey I must remember to backup my files,reminder
I feel like I'm falling apart!!,emotional-support
arrange update my resume for the meeting so,action-item
how was your evening?,small-talk
"I should submit the report, remind me",reminder
hmm I need to remember to renew my subscription,reminder
ping me about do the laundry next Monday,reminder
I must remember to return the library books,reminder
HEY THERE,small-talk
so reminder: take the medicine,reminder
oh really uh,small-talk
put a reminder for call the dentist,reminder
Sounds Good hmm,small-talk
i need you to feed the cat,action-item
I'm having a bad day!!,emotional-support
Finish Do The Laundry By Tomorrow Like,action-item
ping me about send the email tonight,reminder
what do you think about everything?,small-talk
reminder: send the email,reminder
I DON'T KNOW WHAT TO DO ABOUT SCHOOL,emotional-support
I'm going through a tough time,emotional-support
can you remind me about backup my files,reminder
just checking in uh,small-talk
alert me to go to the gym at noon?,reminder
ping me about backup my files at noon,reminder
I feel so down,emotional-support
ping me to charge my phone at this evening,reminder
set a alerter for pick up the kids like,reminder
yo I KNOW RIGHT,small-talk
Have You Tried Everything...,small-talk
i must remember to clean the house,reminder
hey alert me to check the mail,reminder
organize book the appointment,action-item
yo Create A Return The Library Books,action-item
take care of renew my subscription,action-item
complete the submit the report...,action-item
fix the take the medicine,action-item
like have you tried money problems,small-talk
update the go to the gym,action-item
hmm anything new,small-talk
I'M Having A Bad Day,emotional-support
Hey Reminder: Pick Up Prescriptions,reminder
I keep forgetting to feed the cat,reminder
hmm what have you been up to,small-talk
I'm anxious about money problems,emotional-support
can you check the mail for me,action-item
What'S New With You,small-talk
can you ping me about clean the house!,reminder
well could you renew my subscription,action-item
what are you doing this week yo,small-talk
review the book the appointment,action-item
arrange update my resume for the meeting!,action-item
see you later,small-talk
note to self: file taxes,reminder
go to the gym this for me please,action-item
I cried about the weather today,emotional-support
uh what's up...,small-talk
alert me to send the email next week!,reminder
what have you been up to so,small-talk
I cried about cooking today,emotional-support
I'm burned out from travel plans? so,emotional-support
Can You Remind Me About Call Mom!!,reminder
put a reminder for file taxes uh!,reminder
yo don't forget to file taxes!,reminder
ARRANGE UPDATE MY RESUME FOR THE MEETING,action-item
Schedule A Reminder For Charge My Phone,reminder
BEAUTIFUL DAY ISN'T IT,small-talk
what have you been up to...,small-talk
submit the pick up prescriptions,action-item
Fix The Check The Mail so,action-item
I'll need that document by end of day,action-item
I'm so depressed right now,emotional-support
So I'M Not Doing Well Emotionally,emotional-support
like I'm burned out from everything,emotional-support
alert me to submit the report at 5pm,reminder
don't forget to call mom,reminder
I'M NOT DOING WELL EMOTIONALLY,emotional-support
things have been really hard lately yo,emotional-support
make sure to water the plants,action-item
organize renew my subscription,action-item
I need some comfort right now...,emotional-support
go ahead and return the library books,action-item
could you go to the gym,action-item
like I just feel empty inside,emotional-support
everything feels hopeless?,emotional-support
hey how's your day going,small-talk
WE NEED TO BACKUP MY FILES?,action-item
I just need to vent about school,emotional-support
hey I need some comfort right now!!,emotional-support
so take care of backup my files,action-item
Good Morning,small-talk
prepare the submit the report,action-item
reminder: file taxes?,reminder
hmm I'm burned out from money problems,emotional-support
I'm stressed about losing my friend?,emotional-support
so I know right,small-talk
I'm feeling empty today,emotional-support
uh would you mind reviewing the document,action-item
it hurts that my grades,emotional-support
hey there?,small-talk
I Feel Like I'M Falling Apart,emotional-support
note to self: charge my phone,reminder
um haha that's funny,small-talk
arrange book the appointment for the meeting,action-item
oh I almost forgot about the meeting,reminder
I don't know what to do about school,emotional-support
don't let me forget to update my resume,reminder
make sure to buy groceries,action-item
submit the book the appointment?,action-item
Make Sure I Charge My Phone Before Lunch,reminder
schedule a reminder for file taxes,reminder
note to self: send the email,reminder
ALERT ME TO UPDATE MY RESUME AT NOON UM,reminder
Note To Self: Update My Resume,reminder
what do you think about that new movie well,small-talk
please file taxes?,action-item
I'm not doing well emotionally?,emotional-support
I feel overwhelmed by my relationship... yo,emotional-support
review the submit the report,action-item
Let'S Make Sure The Deployment Goes Smoothly,action-item
"so I should do the laundry, remind me!!",reminder
so I'm stressed about the weather,emotional-support
I'm doing really lonely,emotional-support
we need to file taxes,action-item
don't let me forget to do the laundry,reminder
I cried about my career today...,emotional-support
I feel like I'm falling apart?,emotional-support
like I feel overwhelmed by my grades,emotional-support
don't let me forget to pick up the kids,reminder
well I don't know what to do about moving away,emotional-support
arrange do the laundry for the meeting...,action-item
remind me to update my resume at after work,reminder
hmm I need someone to talk to!!,emotional-support
"hmm I should water the plants, remind me",reminder
oh really!!,small-talk
So I Need Someone To Talk To,emotional-support
can you remind me about book the appointment,reminder
Reminder: Return The Library Books,reminder
hmm I keep forgetting to pick up the kids,reminder
create a backup my files,action-item
can you remind me about return the library books...,reminder
I don't know what to do about cooking so,emotional-support
have you tried cooking,small-talk
nice weather today,small-talk
yo add book the appointment to my reminders...,reminder
finish charge my phone by tomorrow!!,action-item
don't forget to check the mail,reminder
note to self: update my resume!,reminder
have you tried money problems,small-talk
i feel overwhelmed by travel plans,emotional-support
i feel like nobody understands me,emotional-support
please remind me to return the library books after work,reminder
put a pinger for pick up the kids!!,reminder
did you see my health yesterday um,small-talk
I Feel Overwhelmed By My Parents?,emotional-support
don't let me forget to buy groceries uh,reminder
I just want someone to understand hey,emotional-support
right right,small-talk
I must remember to do the laundry!!,reminder
i'm feeling hopeless today,emotional-support
let's pick up prescriptions...,action-item
I'm really struggling with the project!!,emotional-support
how was your evening,small-talk
submit the take the medicine,action-item
happy weekend,small-talk
go ahead and go to the gym,action-item
I'm being sad today well,emotional-support
create a clean the house,action-item
I need to remember to file taxes!,reminder
I miss the way things were!!,emotional-support
make sure I update my resume after work!! hey,reminder
LONG TIME NO SEE,small-talk
can you remind me about file taxes... yo,reminder
anything new...,small-talk
anything new?,small-talk
i feel so sad hey,emotional-support
set a reminder for pick up the kids?,reminder
uh I miss the way things were,emotional-support
I just need to vent about moving away,emotional-support
set up feed the cat!,action-item
I'M ANXIOUS ABOUT COOKING,emotional-support
I Keep Forgetting To Call The Dentist,reminder
what are you doing this birthday,small-talk
ping me about backup my files next week,reminder
that's wild,small-talk
I Must Remember To File Taxes,reminder
yo yo same here,small-talk
schedule a reminder for update my resume uh,reminder
I'm so upset right now,emotional-support
what's up,small-talk
how are you doing!!,small-talk
haha that's funny,small-talk
i know right,small-talk
what do you think about my parents well,small-talk
I'm stressed about my family,emotional-support
I need some comfort right now,emotional-support
arrange water the plants for the meeting,action-item
have a nice day like so,small-talk
anything new,small-talk
Hmm Prepare The Feed The Cat,action-item
don't forget to water the plants,reminder
hey ping me to check the mail,reminder
let's make sure the deployment goes smoothly,action-item
HAHA THAT'S FUNNY,small-talk
that needs to happen before Friday,action-item
good morning? so,small-talk
so I feel overwhelmed by school,emotional-support
I'm really struggling with travel plans so,emotional-support
I'm burned out from my grades,emotional-support
hey remind me to renew my subscription,reminder
"I should renew my subscription, remind me",reminder
just checking in,small-talk
cool,small-talk
I'm burned out from my career,emotional-support
happy birthday,small-talk
prepare the water the plants,action-item
hope you're well,small-talk
i need someone to talk to,emotional-support
don't forget to buy groceries!!,reminder
hmm PREPARE THE RETURN THE LIBRARY BOOKS,action-item
create a charge my phone,action-item
note to self: file taxes well,reminder
um I NEED A REMINDER TO TAKE THE MEDICINE,reminder
uh handle call mom please,action-item
well everything feels hopeless,emotional-support
Um Long Time No See,small-talk
I Feel Like I'M Falling Apart!,emotional-support
review the return the library books,action-item
I need you to clean the house!!,action-item
I'm feeling really lonely!!,emotional-support
so I just need to vent about my grades,emotional-support
I'm having a bad day?,emotional-support
hows your day going,small-talk
how was your week so,small-talk
make sure to feed the cat,action-item
oh really like,small-talk
oh really!,small-talk
I need a reminder to call mom hey,reminder
SEND CHARGE MY PHONE TO THE TEAM!!,action-item
I don't know what to do about the breakup,emotional-support
finish buy groceries by tomorrow,action-item
I need to remember to call mom,reminder
handle renew my subscription please,action-item
can you notify me about call mom?,reminder
could you feed the cat,action-item
how was your night,small-talk
schedule pay the bills,action-item
can you remind me about go to the gym,reminder
nobody cares about how I feel,emotional-support
oh I almost forgot about the meeting,reminder
i just want someone to understand,emotional-support
I feel like nobody understands me!!,emotional-support
organize check the mail,action-item
hey remind me to update my resume,reminder
I Need You To Check The Mail!!,action-item
I cried about my grades today?,emotional-support
I need to remember to pay the bills,reminder
how was your weekend!,small-talk
arrange feed the cat for the meeting,action-item
i feel like i'm falling apart,emotional-support
everything feels hopeless!!,emotional-support
I must remember to check the mail,reminder
create a send the email well,action-item
submit the charge my phone,action-item
I feel overwhelmed by money problems uh,emotional-support
create a water the plants,action-item
send submit the report to the team,action-item
go ahead and take the medicine,action-item
um i feel like nobody understands me,emotional-support
don't let me forget to feed the cat!,reminder
Make Sure I Return The Library Books On Friday,reminder
hey alert me to backup my files!,reminder
so what do you think about my health,small-talk
hey don't let me forget to send the email,reminder
let's buy groceries,action-item
set up go to the gym...,action-item
add charge my phone to my reminders... well,reminder
so remind me to backup my files at at noon!!,reminder
I feel so frustrated,emotional-support
I'm feeling really lonely,emotional-support
how are you doing...,small-talk
I miss the way things were!! hey,emotional-support
I must remember to take the medicine,reminder
I'm so lost right now,emotional-support
anything new!!,small-talk
fix the pick up prescriptions,action-item
so I don't know what to do about my relationship,emotional-support
I feel so lost,emotional-support
I NEED TO REMEMBER TO CALL MOM,reminder
PUT A REMINDER FOR SEND THE EMAIL,reminder
well I'm having a bad day,emotional-support
like things have been really hard lately,emotional-support
uh how's your day going...,small-talk
buy groceries this for me please,action-item
would you mind calling mom so,action-item
what are you doing this week,small-talk
I KNOW RIGHT!!,small-talk
have you tried everything!,small-talk
like I'm so anxious right now,emotional-support
finish pick up prescriptions by tomorrow,action-item
I wish things were different,emotional-support
I feel like nobody understands me...,emotional-support
hmm I'm not doing well emotionally,emotional-support
could you check the mail!,action-item
how's it going!,small-talk
don't let me forget to buy groceries,reminder
how was your vacation,small-talk
I feel overwhelmed by the weekend well,emotional-support
I'm stressed about the weather,emotional-support
yo I wish things were different,emotional-support
I feel like nobody understands me?,emotional-support
I'm really struggling with my relationship,emotional-support
I must remember to book the appointment,reminder
i need you to take the medicine,action-item
take care of backup my files,action-item
lol,small-talk
Hey Remind Me To Call Mom,reminder
make sure to submit the report,action-item
please file taxes,action-item
I cried about my grades today,emotional-support
make sure I book the appointment tomorrow,reminder
what are you doing this weekend...,small-talk
some days are harder than others,emotional-support
I keep forgetting to water the plants,reminder
same here hmm,small-talk
COOL,small-talk
see you later um,small-talk
can you do the laundry for me,action-item
would you just listen for a bit,emotional-support
make sure to go to the gym,action-item
happy holidays,small-talk
can you alert me about pick up prescriptions,reminder
I'm really struggling with my grades um,emotional-support
that's interesting uh,small-talk
yeah totally,small-talk
I'm burned out from my family,emotional-support
did you see the project yesterday,small-talk
I must remember to renew my subscription,reminder
how is it going,small-talk
what do you think about losing my friend? like,small-talk
so good morning,small-talk
haha that's funny?,small-talk
don't forget to file taxes,reminder
so anyway,small-talk
hey don't let me forget to buy groceries,reminder
I'm being heartbroken today,emotional-support
fix the buy groceries,action-item
submit the buy groceries,action-item
i'm having a bad day,emotional-support
same here,small-talk
well take the medicine this for me plz,action-item
review the file taxes hmm,action-item
I'm really struggling with everything,emotional-support
can you just listen for a bit hmm,emotional-support
I'm really struggling with the breakup,emotional-support
have you tried the project,small-talk
hey put a pinger for return the library books,reminder
so what's new with you so,small-talk
have a nice day...,small-talk
I'M STRESSED ABOUT MY FAMILY well,emotional-support
hey I don't know what to do about the breakup,emotional-support
hey put a reminder for do the laundry,reminder
I'M So Scared Right Now,emotional-support
HAVE YOU TRIED THE WEEKEND,small-talk
How Was Your Day,small-talk
schedule water the plants hey well,action-item
reminder: return the library books,reminder
it hurts that that new movie so,emotional-support
set a reminder for pick up prescriptions,reminder
please notify me to feed the cat in an hour,reminder
let's backup my files,action-item
uh go ahead and book the appointment!!,action-item
I'm going really lonely?,emotional-support
set a reminder for check the mail,reminder
submit the return the library books...,action-item
organize update my resume,action-item
make sure to feed the cat...,action-item
have you tried music,small-talk
hmm I need some comfort right now,emotional-support
HOPE YOU'RE WELL,small-talk
WOULD YOU MIND FIXING THE BUG?,action-item
i keep forgetting to feed the cat,reminder
make sure I do the laundry next week?,reminder
update the charge my phone,action-item
alert me to water the plants next week like!,reminder
can you remind me about update my resume,reminder
UPDATE THE TAKE THE MEDICINE,action-item
hey we need to submit the report,action-item
Complete The Water The Plants,action-item
please clean the house?,action-item
I just need to vent about cooking,emotional-support
"I Should File Taxes, Remind Me",reminder
I keep forgetting to check the mail,reminder
I just want someone to understand!!,emotional-support
put a reminder for book the appointment,reminder
make sure to book the appointment,action-item
I'm really struggling with my boss,emotional-support
prepare the feed the cat!,action-item
like How'S Your Day Going,small-talk
same here so,small-talk
I must remember to pay the bills,reminder
well I'm stressed about the weekend,emotional-support
I CAN'T STOP THINKING ABOUT WHAT HAPPENED,emotional-support
yo anything new,small-talk
schedule a notifyer for pick up prescriptions,reminder
what's up yo,small-talk
add book the appointment to my reminders,reminder
I need to remember to pick up the kids,reminder
"I should feed the cat, remind me",reminder
hmm I'm burned out from school yo,emotional-support
what's new with you! hey,small-talk
yo charge my phone this for me please!,action-item
pay the bills this for me please!,action-item
make sure I check the mail on Friday,reminder
add take the medicine to my reminders,reminder
"I should do the laundry, remind me",reminder
can you return the library books for me,action-item
I'm going lost today,emotional-support
prepare the update my resume,action-item
I'm going through a tough time?,emotional-support
I'm stressed about money problems,emotional-support
I'm feeling upset today,emotional-support
fix the buy groceries!,action-item
what have you been up to um,small-talk
don't let me forget to return the library books yo,reminder
hey remind me to backup my files!!,reminder
haha nice,small-talk
arrange update my resume for the meeting,action-item
schedule check the mail,action-item
alert me to charge my phone after work,reminder
it hurts that the weekend,emotional-support
did you see moving away yesterday!,small-talk
did you see money problems yesterday...,small-talk
ping me about book the appointment this evening,reminder
Please Remind Me To Renew My Subscription Before Lunch,reminder
schedule a reminder for pick up the kids?,reminder
create a file taxes,action-item
put a pinger for go to the gym,reminder
just checking in um,small-talk
make sure I submit the report tomorrow um like,reminder
it hurts that the game last night!! hey,emotional-support
I don't know what to do about everything,emotional-support
what have you been up to so?,small-talk
hmm just checking in,small-talk
complete the water the plants uh so,action-item
handle clean the house please?,action-item
did you see the project yesterday?,small-talk
what are you doing this trip,small-talk
sounds good um,small-talk
Hey There,small-talk
hey happy holidays hey,small-talk
i keep forgetting to renew my subscription,reminder
happy Friday,small-talk
review the clean the house,action-item
review the do the laundry yo,action-item
REMIND ME TO GO TO THE GYM AT NEXT WEEK WELL,reminder
I'm burned out from that new movie!!,emotional-support
review the pick up the kids,action-item
I'm anxious about cooking,emotional-support
CREATE A FILE TAXES so,action-item
yo long time no see?,small-talk
I just need to vent about money problems,emotional-support
uh I'm stressed about my parents,emotional-support
can you remind me about take the medicine,reminder
memo: dentist appointment Thursday!!,reminder
nice weather today hmm,small-talk
finish do the laundry by tomorrow,action-item
hey I cried about school today...,emotional-support
so don't let me forget to file taxes,reminder
hmm send file taxes to the team,action-item
beautiful day isn't it uh,small-talk
I Feel Like Nobody Understands Me,emotional-support
like I need someone to talk to,emotional-support
uh that's interesting uh,small-talk
Can You Check The Mail For Me Hmm,action-item
handle pay the bills please,action-item
let's do the laundry,action-item
hmm you know what I mean,small-talk
LONG TIME NO SEE?,small-talk
I need a reminder to take the medicine!!,reminder
I'M Going Through A Tough Time,emotional-support
let's pick up prescriptions,action-item
good morning hey well,small-talk
put a alerter for update my resume,reminder
I'm going really lonely,emotional-support
I'll need that document by end of day,action-item
I just feel empty inside,emotional-support
ALERT ME TO FILE TAXES AFTER WORK,reminder
we need to submit the report!!,action-item
I just need to vent about my health?,emotional-support
I feel overwhelmed by the breakup,emotional-support
good morning like,small-talk
let's pick up the kids,action-item
create a check the mail...,action-item
Did You See Money Problems Yesterday!!,small-talk
things have been really hard lately!!,emotional-support
add submit the report to my reminders,reminder
I'm really struggling with cooking,emotional-support
hey yeah totally,small-talk
have a nice day?,small-talk
so organize update my resume,action-item
COMPLETE THE CALL THE DENTIST,action-item
fix the take the medicine hey,action-item
note to self: water the plants!,reminder
yo good morning,small-talk
beautiful day isn't it!,small-talk
I cried about money problems today so,emotional-support
it hurts that school,emotional-support
have you tried losing my friend,small-talk
I'm burned out from the project hmm,emotional-support
update the update my resume!!,action-item
don't let me forget to go to the gym,reminder
could you just listen for a bit,emotional-support
don't let me sleep through the alarm,reminder
pay the bills this for me please,action-item
I cried about the game last night today,emotional-support
so I feel so hopeless,emotional-support
uh what are you doing this trip!,small-talk
yo everything feels hopeless,emotional-support
Ping Me About Water The Plants Tomorrow,reminder
did you see work yesterday!!,small-talk
would you mind calling mom uh,action-item
I'm doing upset today,emotional-support
I'm burned out from work,emotional-support
I need to remember to call the dentist um like,reminder
uh don't let me forget to call the dentist,reminder
finish call the dentist by tomorrow,action-item
did you see travel plans yesterday,small-talk
handle submit the report please,action-item
remind me to charge my phone at this evening,reminder
so schedule a notifyer for clean the house,reminder
how are you doing well,small-talk
hey I'm really struggling with travel plans,emotional-support
schedule a pinger for go to the gym...,reminder
arrange check the mail for the meeting,action-item
so haha that's funny,small-talk
sounds good?,small-talk
HEY ALERT ME TO FEED THE CAT,reminder
I need to not forget this time,reminder
I just want someone to understand!,emotional-support
Review The Pick Up Prescriptions,action-item
how's your day going!!,small-talk
so put a reminder for call the dentist,reminder
Note To Self: Water The Plants,reminder
pinger: pick up prescriptions,reminder
someone has to handle the inventory,action-item
I CRIED ABOUT TRAVEL PLANS TODAY,emotional-support
I just need to vent about my family,emotional-support
yo review the pick up the kids...,action-item
finish do the laundry by tomorrow?,action-item
make sure I book the appointment on Friday,reminder
I'm stressed about my grades uh,emotional-support
let's feed the cat,action-item
well what have you been up to!,small-talk
um hope you're well,small-talk
yo oh man,small-talk
oh really,small-talk
submit the update my resume,action-item
I NEED SOME COMFORT RIGHT NOW,emotional-support
could you buy groceries,action-item
I'm going sad today,emotional-support
make sure i pick up prescriptions on friday,reminder
please book the appointment,action-item
yo hmm merge the pull request when ready,action-item
organize clean the house,action-item
make sure I update my resume in the morning,reminder
would you mind reviewing the document,action-item
that reminds me of something funny,small-talk
I'm anxious about the weekend,emotional-support
make sure I send the email in the morning,reminder
don't let me forget to feed the cat,reminder
"I SHOULD BACKUP MY FILES, REMIND ME",reminder
for real though,small-talk
please notify me to call mom after work,reminder
so anyway,small-talk
It Hurts That That New Movie hey,emotional-support
don't forget to pay the bills?,reminder
"I should go to the gym, remind me",reminder
like I cried about that new movie today,emotional-support
I feel like giving up sometimes?,emotional-support
What Have You Been Up To Uh,small-talk
charge my phone this for me please!!,action-item
"I should water the plants, remind me!",reminder
I'm having a bad day,emotional-support
take care of check the mail so!,action-item
I'M ANXIOUS ABOUT TRAVEL PLANS,emotional-support
update the take the medicine,action-item
I'm burned out from my parents,emotional-support
what do you think about everything,small-talk
have a nice day,small-talk
Sounds Good,small-talk
create a take the medicine?,action-item
reminder: call the dentist,reminder
what's up!,small-talk
set a reminder for return the library books,reminder
I'm stressed about the weekend,emotional-support
I keep forgetting to pick up prescriptions,reminder
"I should update my resume, remind me",reminder
why does everything go wrong for me,emotional-support
review the renew my subscription,action-item
I'm really struggling with money problems!!,emotional-support
I Miss The Way Things Were,emotional-support
I cried about the weekend today...,emotional-support
hey I feel overwhelmed by my relationship,emotional-support
so I just want someone to understand,emotional-support
Same Here,small-talk
what are you doing this weekend,small-talk
schedule a alerter for clean the house,reminder
what have you been up to,small-talk
I need someone to talk to like,emotional-support
the report won't write itself,action-item
schedule a reminder for renew my subscription...,reminder
did you see losing my friend yesterday,small-talk
i'm really struggling with the weekend,emotional-support
put a reminder for water the plants,reminder
please notify me to call the dentist tomorrow hmm,reminder
I must remember to file taxes...,reminder
some days are harder than others,emotional-support
hey SET UP TAKE THE MEDICINE,action-item
Same Here Um,small-talk
"I should feed the cat, remind me yo",reminder
it hurts that my career so,emotional-support
like yo fix the file taxes,action-item
send book the appointment to the team,action-item
I'm anxious about my career,emotional-support
yo I know right,small-talk
JUST CHECKING IN,small-talk
I'm stressed about moving away,emotional-support
note to self: file taxes?,reminder
Cool,small-talk
um could you submit the report,action-item
same here well,small-talk
I Must Remember To Submit The Report!!,reminder
ARRANGE TAKE THE MEDICINE FOR THE MEETING,action-item
like don't let me forget to pick up prescriptions,reminder
OH REALLY,small-talk
I don't know what to do about moving away?,emotional-support
Yeah Totally,small-talk
like what's up,small-talk
I'm feeling really lonely uh,emotional-support
nice weather today?,small-talk
what's new with you,small-talk
merge the pull request when ready,action-item
put a reminder for update my resume,reminder
what do you think about music,small-talk
"I should send the email, remind me",reminder
I'm burned out from moving away,emotional-support
good morning,small-talk
update the backup my files,action-item
See You Later!!,small-talk
well review the feed the cat,action-item
haha nice,small-talk
can you just listen for a bit...,emotional-support
it slipped my mind to call the doctor,reminder
uh long time no see,small-talk
so just checking in,small-talk
we should probably get that done!!,action-item
HOW WAS YOUR BIRTHDAY HEY,small-talk
note to self: check the mail so hmm,reminder
I just need to vent about my boss,emotional-support
alert me to pay the bills this evening,reminder
uh I just need to vent about money problems,emotional-support
reminder: renew my subscription hmm,reminder
um I'm anxious about my relationship,emotional-support
check the mail this for me please uh,action-item
can you just listen for a bit,emotional-support
i feel like i'm falling apart hey,emotional-support
hey I'm burned out from the game last night,emotional-support
yo set up pick up the kids,action-item
I Feel Overwhelmed By The Game Last Night,emotional-support
Remind Me To Feed The Cat At On Friday,reminder
make sure I send the email next Monday,reminder
I need to remember to take the medicine!,reminder
SUBMIT THE RETURN THE LIBRARY BOOKS,action-item
FIX THE FILE TAXES,action-item
send submit the report to the team?,action-item
complete the feed the cat!,action-item
for real though,small-talk
that's wild,small-talk
cool...,small-talk
uh I need to remember to go to the gym,reminder
uh beautiful day isn't it,small-talk
just checking in like,small-talk
I need to remember to update my resume!!,reminder
I cried about my parents today!!,emotional-support
lol,small-talk
make sure I water the plants in an hour like,reminder
I'm tired of pretending I'm okay,emotional-support
let's check the mail...,action-item
push the changes to production,action-item
well it hurts that my parents,emotional-support
organize buy groceries,action-item
I'M Feeling Exhausted Today,emotional-support
I feel like giving up sometimes,emotional-support
don't let me forget to backup my files,reminder
well how are you doing,small-talk
I just need to vent about the project,emotional-support
make sure to send the email um,action-item
I'm really struggling with the game last night,emotional-support
how was your morning?,small-talk
I have to remember the anniversary hmm,reminder
well note to self: pay the bills,reminder
I must remember to pick up the kids,reminder
I just need to vent about the future,emotional-support
complete the buy groceries,action-item
go ahead and pick up the kids,action-item
I Cried About My Family Today,emotional-support
I'm so down right now,emotional-support
can you remind me about file taxes,reminder
I'm so frustrated right now,emotional-support
like send take the medicine to the team,action-item
what's new with you!!,small-talk
handle book the appointment please...,action-item
schedule a reminder for update my resume,reminder
don't let me forget to go to the gym!,reminder
remind me to pay the bills at this evening,reminder
HAVE A NICE DAY?,small-talk
I feel like I'm falling apart,emotional-support
uh good morning,small-talk
I feel overwhelmed by my parents,emotional-support
I must remember to feed the cat,reminder
Handle Clean The House Please,action-item
have a nice day? like,small-talk
note to self: pick up the kids uh,reminder
I can't stop thinking about what happened,emotional-support
MAKE SURE I BOOK THE APPOINTMENT AFTER WORK?,reminder
schedule charge my phone,action-item
hey remind me to return the library books,reminder
I'm feeling empty today well,emotional-support
what do you think about my health,small-talk
I miss the way things were,emotional-support
same here yo,small-talk
arrange update my resume for the meeting...,action-item
hey hey remind me to pick up the kids,reminder
remind me to do the laundry at this evening?,reminder
update the charge my phone?,action-item
Long Time No See!!,small-talk
I keep forgetting to pick up prescriptions hmm,reminder
please remind me to feed the cat next Monday...,reminder
how is your day going,small-talk
How Are You Doing,small-talk
alert me to call mom tonight,reminder
I just need to vent about the weather?,emotional-support
that's interesting?,small-talk
can you pick up prescriptions for me,action-item
what are you doing this birthday?,small-talk
take care of call the dentist,action-item
um I'm having a bad day well,emotional-support
I'm feeling overwhelmed today,emotional-support
Review The Do The Laundry,action-item
reminder: pay the bills,reminder
don't let me forget to clean the house,reminder
i'm burned out from my parents,emotional-support
reminder: clean the house,reminder
